objectid,title,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
mxn_1d_year_2,US Cent 2038,mxn_1d_year_2,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
cad_1c_1987_1,US Cent 2039,cad_1c_1987_1,image/jpeg,1987,CAD,1,Cent,,canada;,Canada,Image; Still Image,,,
bef_25c_year_1,US Cent 2040,bef_25c_year_1,image/jpeg,,BEF,25,Cent,,belgium;,Belgium,Image; Still Image,,,
cny_1_year_1,US Cent 2041,cny_1_year_1,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
cny_1_year_2,US Cent 2042,cny_1_year_2,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
cny_1_year_3,US Cent 2043,cny_1_year_3,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
mxn_5c_1972_1,US Cent 2044,mxn_5c_1972_1,image/jpeg,1972,MXN,5,Centavos,,mexico;,Mexico,Image; Still Image,,,
gbp_2po_2001_1,US Cent 2045,gbp_2po_2001_1,image/jpeg,2001,GBP,2,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_1pe_2016_1,US Cent 2046,gbp_1pe_2016_1,image/jpeg,2016,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_10pe_2014_1,US Cent 2047,gbp_10pe_2014_1,image/jpeg,2014,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_10pe_1992_1,US Cent 2048,gbp_10pe_1992_1,image/jpeg,1992,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_50pe_year_1,US Cent 2049,gbp_50pe_year_1,image/jpeg,?,GBP,50,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_1po_1993_1,US Cent 2050,gbp_1po_1993_1,image/jpeg,1993,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_5pe_2006_1,US Cent 2051,gbp_5pe_2006_1,image/jpeg,2006,GBP,5,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_20pe_2009_1,US Cent 2052,gbp_20pe_2009_1,image/jpeg,2009,GBP,20,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
gbp_1_2013_1,US Cent 2053,gbp_1_2013_1,image/jpeg,2013,GBP,1,,British Penny,united kingdom;,United Kingdom,Image; Still Image,,,
eur_1c_2008_1,US Cent 2054,eur_1c_2008_1,image/jpeg,2008,EUR,1,Cent,,,,Image; Still Image,,,
