title,objectid,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
Mexican Centavo (1972),mxn_5c_1972_1,mxn_5c_1972_1,image/jpeg,1972,MXN,5,Centavos,,mexico;,Mexico,Image; Still Image,,,
British Pence (2001),gbp_2po_2001_1,gbp_2po_2001_1,image/jpeg,2001,GBP,2,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pound (2016),gbp_1pe_2016_1,gbp_1pe_2016_1,image/jpeg,2016,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2014),gbp_10pe_2014_1,gbp_10pe_2014_1,image/jpeg,2014,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (1992),gbp_10pe_1992_1,gbp_10pe_1992_1,image/jpeg,1992,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (year),gbp_50pe_year_1,gbp_50pe_year_1,image/jpeg,?,GBP,50,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pound (1993),gbp_1po_1993_1,gbp_1po_1993_1,image/jpeg,1993,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2006),gbp_5pe_2006_1,gbp_5pe_2006_1,image/jpeg,2006,GBP,5,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2009),gbp_20pe_2009_1,gbp_20pe_2009_1,image/jpeg,2009,GBP,20,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
British Pence (2013),gbp_1_2013_1,gbp_1_2013_1,image/jpeg,2013,GBP,1,,British Penny,united kingdom;,United Kingdom,Image; Still Image,,,
EU Cent (2008),eur_1c_2008_1,eur_1c_2008_1,image/jpeg,2008,EUR,1,Cent,,,,Image; Still Image,,,
